primary_id|observationDate|name|address|zip
 1|20150314|Lars|123 Main St|90210
 2|20150314|Lars|123 Main St|90214
 3|20150314|Lars|123 Main St|90214
 4|20150314|Lars|123 Main St|90214
 6|20150314|Lars|123 Main St|90214
 7|20150314|Lars|123 Main St|90214
 8|20150314|Lars|123 Main St|90214
 9|20150314|Lars|123 Main St|90214
10|20150314|Lars|123 Main St|90214
11|20150314|Lars|123 Main St|90214
12|20150314|Lars|123 Main St|90214
13|20150314|Lars|123 Main St|90214
14|20150314|Lars|123 Main St|90214
15|20150314|Lars|123 Main St|90214
